time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-15T15:17:02.733Z,37.0751,-117.3802,11.5,0.5,ml,7,135.56,0.08,0.1195,nn,nn00556286,2016-08-15T16:10:28.526Z,"58km WNW of Beatty, Nevada",earthquake,,4,0.38,4,reviewed,nn,nn
2016-08-15T15:14:49.640Z,38.8093338,-122.8248367,1.85,1.83,md,26,84,0.003424,0.04,nc,nc72677696,2016-08-15T15:16:23.930Z,"6km WNW of The Geysers, California",earthquake,0.24,0.29,0.09,11,automatic,nc,nc
2016-08-15T15:04:47.000Z,61.8113,-152.0498,100,2.5,ml,,,,0.49,ak,ak13846050,2016-08-15T15:23:19.060Z,"106km W of Willow, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-08-15T14:50:26.000Z,64.4885,-145.3054,15,1.3,ml,,,,0.46,ak,ak13845876,2016-08-15T15:00:55.829Z,"54km NNE of Delta Junction, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-08-15T14:47:47.593Z,36.822,-115.7985,0,-0.1,ml,13,248.27,0.177,0.1646,nn,nn00556283,2016-08-15T16:03:52.366Z,"70km NNE of Pahrump, Nevada",earthquake,,0,0.2,6,reviewed,nn,nn
2016-08-15T14:40:50.170Z,35.142,-84.8578333,23.17,2.28,md,17,63,0.3182,0.13,se,se60155236,2016-08-15T15:20:24.626Z,"1km E of South Cleveland, Tennessee",earthquake,0.34,1.2,0.066,5,reviewed,se,se
2016-08-15T14:26:28.380Z,33.036,-116.4236667,6.15,1.41,ml,43,38,0.1436,0.19,ci,ci37446599,2016-08-15T14:37:40.420Z,"17km ESE of Julian, CA",earthquake,0.25,1.04,0.162,24,reviewed,ci,ci
2016-08-15T14:12:10.500Z,37.242,-97.6586667,3.94,1.81,ml,13,102,0.04455,0.03,ismpkansas,ismpkansas70201583,2016-08-15T18:02:11.520Z,"16km S of Conway Springs, Kansas",earthquake,0.19,1,0.14,15,reviewed,ismp,ismp
2016-08-15T14:01:16.050Z,38.815834,-122.829834,2.19,1.34,md,12,112,0.006975,0.03,nc,nc72677681,2016-08-15T14:02:53.276Z,"7km NW of The Geysers, California",earthquake,0.3,0.47,0.03,5,automatic,nc,nc
2016-08-15T13:53:25.498Z,39.579,-119.0924,8.6,1.3,ml,15,166.16,0.261,0.1138,nn,nn00556280,2016-08-15T15:50:52.422Z,"14km ESE of Fernley, Nevada",earthquake,,2.4,0.21,8,reviewed,nn,nn
2016-08-15T13:52:45.050Z,38.8098335,-122.817337,3.14,0.88,md,9,121,0.009301,0.02,nc,nc72677676,2016-08-15T13:54:23.091Z,"6km NW of The Geysers, California",earthquake,0.5,0.96,,1,automatic,nc,nc
2016-08-15T13:51:07.400Z,17.9179,-68.6727,89,3.4,Md,8,252,0.65397353,0.41,pr,pr16228005,2016-08-15T18:58:56.040Z,"51km S of Boca de Yuma, Dominican Republic",earthquake,3.7,4.2,0,5,reviewed,pr,pr
