time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-17T21:29:33.100Z,49.0446667,-121.6626667,14.53,2.56,ml,3,276,0.1922,0.03,uw,uw61180472,2016-08-17T22:05:41.606Z,"22km SSE of Agassiz, Canada",earthquake,0.75,1.85,0.063,2,reviewed,uw,uw
2016-08-17T21:07:32.460Z,19.2873333,-156.4265,43.585,3.43,ml,21,293,0.5271,0.13,hv,hv61377861,2016-08-18T15:07:13.753Z,"57km WSW of Captain Cook, Hawaii",earthquake,1.78,3.14,0.147,12,reviewed,hv,hv
2016-08-17T19:55:23.100Z,35.6709,-97.0902,5.736,2.8,ml,,59,,0.23,us,us10006eit,2016-08-18T21:19:35.178Z,"9km E of Luther, Oklahoma",earthquake,0.9,2.9,,,reviewed,tul,tul
2016-08-17T19:16:17.910Z,-55.7009,-26.9098,22.04,4.6,mb,,70,5.694,0.6,us,us10006ein,2016-08-18T23:01:52.040Z,"112km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,6.3,6.2,0.105,27,reviewed,us,us
2016-08-17T18:37:23.900Z,36.2723,-97.5663,6.208,2.9,ml,,40,,0.42,us,us10006ehv,2016-08-18T22:49:24.040Z,"25km W of Perry, Oklahoma",earthquake,1.1,6,,,reviewed,tul,tul
2016-08-17T17:18:03.500Z,19.1072,-64.7865,58,2.8,Md,6,291.6,0.7051775,0.18,pr,pr16230003,2016-08-18T22:36:50.040Z,"78km NNW of Road Town, British Virgin Islands",earthquake,6.3,10.2,0,5,reviewed,pr,pr
2016-08-17T16:22:04.480Z,7.8492,-82.0289,3.55,4.8,mwr,,134,1.102,1.44,us,us10006egr,2016-08-17T23:14:31.735Z,"51km SSW of San Felix, Panama",earthquake,6.3,4.3,0.05,39,reviewed,us,us
2016-08-17T16:06:32.820Z,9.6291,-84.1265,20.12,4.6,mwr,,122,0.293,0.86,us,us10006ek2,2016-08-18T20:06:00.431Z,"12km WSW of San Marcos, Costa Rica",earthquake,2,5.8,,,reviewed,us,ucr
2016-08-17T15:50:33.210Z,50.3799,142.3102,16.72,4.6,mb,,107,3.437,0.69,us,us10006egg,2016-08-17T23:43:54.758Z,"57km SSW of Tymovskoye, Russia",earthquake,8.7,4.7,0.067,66,reviewed,us,us
2016-08-17T15:13:44.700Z,35.6715,-97.0859,5.507,2.5,ml,,50,,0.55,us,us10006ehi,2016-08-17T23:11:40.902Z,"9km E of Luther, Oklahoma",earthquake,0.8,5.6,,,reviewed,tul,tul
2016-08-17T15:13:11.720Z,-4.5788,149.7301,565.55,4.7,mb,,54,3.451,0.51,us,us10006efq,2016-08-17T15:33:34.932Z,"116km NNW of Kimbe, Papua New Guinea",earthquake,11.8,7.7,0.058,90,reviewed,us,us
2016-08-17T15:11:54.790Z,-4.6022,149.6516,554.89,4.9,mb,,19,2.537,0.79,us,us10006efk,2016-08-17T15:40:49.297Z,"118km NNW of Kimbe, Papua New Guinea",earthquake,8.1,5.4,0.054,107,reviewed,us,us
2016-08-17T14:27:24.000Z,59.3069,-152.6506,100,3.1,ml,,,,0.62,ak,ak13847255,2016-08-17T14:45:18.941Z,"69km SW of Anchor Point, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
