depth,mag,magType,nst,gap,dmin,,,,,place,,horizontalError,depthError,magError,magNst
37,2.3,Md,5,241.2,0.55695548,,,,,"72km ENE of Punta Cana, Dominican Republic",,6.3,9.6,0,3
8.42,1.28,ml,21,102,0.01746,,,,,"1km NE of View Park-Windsor Hills, CA",,0.48,0.64,0.207,14
10,1.4,ml,,,,,,,,"93km WNW of Cantwell, Alaska",,0.4,0.2,,
3.215,1.17,md,26,99,0.04404,,,,,"13km NE of Pahala, Hawaii",,0.32,0.78,0.232,14
4.35,0.64,ml,21,90,0.01409,,,,,"3km W of Borrego Springs, CA",,0.31,0.29,0.14,12
6,2.6,Md,13,216,0.1706799,,,,,"17km SSE of Indios, Puerto Rico",,1.2,1.5,0,12
7.4,0.1,ml,12,98.39,0.094,,,,,"45km SSW of Goldfield, Nevada",,,2.2,0.12,4
100,1.9,ml,,,,,,,,"73km NW of Talkeetna, Alaska",,0.4,0.8,,
6.7,1.1,ml,6,215.02,0.207,,,,,"8km N of Boulder City, Nevada",,,2.1,0.74,2
14.4,0.7,ml,5,244.21,0.314,,,,,"17km SE of Gardnerville Ranchos, Nevada",,,6.6,0.01,2
80,1.4,ml,,,,,,,,"55km W of Talkeetna, Alaska",,1.6,2.1,,
14.1,1.3,ml,19,66.75,0.24,,,,,"37km WNW of Alamo, Nevada",,,4.7,0.32,9
6.5,1.88,md,7,204,0.03633,,,,,"31km ESE of Janesville, California",,2.52,2.51,0.09,5
11.44,0.49,ml,27,123,0.06619,,,,,"18km ESE of Anza, CA",,0.25,0.45,0.194,11
10.87,1.15,ml,41,72,0.1597,,,,,"16km NNE of Borrego Springs, CA",,0.24,0.54,0.137,27
3.38,2.88,ml,135,15,0.0724,,,,,"3km WNW of Yorba Linda, CA",,0.12,0.26,0.156,212
3.36,1.59,md,17,113,0.03501,,,,,"22km WNW of West Bishop, California",,0.31,0.78,0.2,16
10,0.9,ml,,,,,,,,"66km SSE of Deltana, Alaska",,0.4,0.4,,
11.2,0.6,ml,9,145.29,0.185,,,,,"31km SSW of Hawthorne, Nevada",,,7.5,0.22,4
10,0.7,ml,,,,,,,,"17km SSE of Salcha, Alaska",,0.7,0.3,,
11.8,1.8,ml,26,112.33,0.062,,,,,"31km SE of Janesville, California",,,1.1,0.3,18
122,3,Md,8,194.4,0.18864621,,,,,"11km WNW of Puerto Real, Puerto Rico",,3,1.9,0,2
-0.69,1.03,md,28,63,0.03661,,,,,"26km WSW of Coalinga, California",,0.23,0.86,0.223,16
5.12,1.16,ml,18,85,0.005792,,,,,"3km E of Westmorland, CA",,0.35,0.41,0.279,9
5,3.5,mb_lg,,49,0.029,,,,,"3km E of Luther, Oklahoma",,1.2,2,0.05,105
74.3,3.4,ml,,,,,,,,"76km SW of Kiska Volcano, Alaska",,3.5,2.1,,
50,1.4,ml,,,,,,,,"29km WSW of Anchor Point, Alaska",,2.1,6.7,,
0,1.5,ml,6,95.11,0.943,,,,,"13km ENE of Eureka, Nevada",,,0,0.03,2
16.99,0.3,ml,18,137,0.01649,,,,,"3km SSW of Idyllwild, CA",,0.29,0.43,0.042,3
9.3,0.5,ml,10,144.13,0.095,,,,,"14km S of Portola, California",,,5.1,0.25,5
9.09,0.67,ml,18,123,0.07896,,,,,"8km N of Borrego Springs, CA",,0.43,1.05,0.105,13
9.7,-0.3,ml,4,122.1,0.111,,,,,"10km W of Cold Springs, Nevada",,,9.6,0,1
